chrY	15191	1
chrY	15192	4
chrY	15193	5
chrY	15194	5
chrY	15195	5
chrY	15196	5
chrY	15197	7
chrY	15198	7
chrY	15199	7
chrY	15200	7
chrY	15201	7
chrY	15202	7
chrY	15203	7
chrY	15204	7
chrY	15205	7
chrY	15206	7
chrY	15207	7
chrY	15208	7
chrY	15209	7
chrY	15210	7
chrY	15211	7
chrY	15212	7
chrY	15213	7
chrY	15214	7
chrY	15215	7
chrY	15216	7
chrY	15217	7
chrY	15218	7
chrY	15219	7
chrY	15220	7
chrY	15221	7
chrY	15222	7
chrY	15223	7
chrY	15224	7
chrY	15225	7
chrY	15226	7
chrY	15227	7
chrY	15228	7
chrY	15229	7
chrY	15230	7
chrY	15231	7
chrY	15232	7
chrY	15233	7
chrY	15234	7
chrY	15235	7
chrY	15236	7
chrY	15237	7
chrY	15238	7
chrY	15239	7
chrY	15240	7
chrY	15241	7
chrY	15242	7
chrY	15243	7
chrY	15244	7
chrY	15245	7
chrY	15246	7
chrY	15247	7
chrY	15248	7
chrY	15249	7
chrY	15250	7
chrY	15251	7
chrY	15252	7
chrY	15253	7
chrY	15254	7
chrY	15255	7
chrY	15256	7
chrY	15257	7
chrY	15258	7
chrY	15259	7
chrY	15260	7
chrY	15261	7
chrY	15262	7
chrY	15263	7
chrY	15264	7
chrY	15265	7
chrY	15266	7
chrY	15267	6
chrY	15268	3
chrY	15269	2
chrY	15270	2
chrY	15271	2
chrY	15272	2
