chrY	148066	1
chrY	148067	2
chrY	148068	2
chrY	148069	3
chrY	148070	3
chrY	148071	3
chrY	148072	3
chrY	148073	3
chrY	148074	3
chrY	148075	3
chrY	148076	3
chrY	148077	4
chrY	148078	4
chrY	148079	4
chrY	148080	4
chrY	148081	5
chrY	148082	5
chrY	148083	6
chrY	148084	6
chrY	148085	6
chrY	148086	6
chrY	148087	6
chrY	148088	7
chrY	148089	8
chrY	148090	10
chrY	148091	10
chrY	148092	10
chrY	148093	10
chrY	148094	10
chrY	148095	11
chrY	148096	11
chrY	148097	11
chrY	148098	12
chrY	148099	12
chrY	148100	12
chrY	148101	14
chrY	148102	14
chrY	148103	16
chrY	148104	16
chrY	148105	17
chrY	148106	17
chrY	148107	18
chrY	148108	20
chrY	148109	20
chrY	148110	21
chrY	148111	22
chrY	148112	23
chrY	148113	24
chrY	148114	24
chrY	148115	24
chrY	148116	25
chrY	148117	25
chrY	148118	25
chrY	148119	25
chrY	148120	26
chrY	148121	27
chrY	148122	27
chrY	148123	28
chrY	148124	28
chrY	148125	28
chrY	148126	30
chrY	148127	30
chrY	148128	31
chrY	148129	31
chrY	148130	33
chrY	148131	34
chrY	148132	36
chrY	148133	36
chrY	148134	36
chrY	148135	36
chrY	148136	36
chrY	148137	36
chrY	148138	36
chrY	148139	36
chrY	148140	36
chrY	148141	37
chrY	148142	36
chrY	148143	36
chrY	148144	37
chrY	148145	37
chrY	148146	38
chrY	148147	38
chrY	148148	40
chrY	148149	41
chrY	148150	41
chrY	148151	41
chrY	148152	41
chrY	148153	40
chrY	148154	41
chrY	148155	41
chrY	148156	41
chrY	148157	41
chrY	148158	42
chrY	148159	42
chrY	148160	42
chrY	148161	42
chrY	148162	43
chrY	148163	44
chrY	148164	43
chrY	148165	42
chrY	148166	40
chrY	148167	40
chrY	148168	41
chrY	148169	41
chrY	148170	41
chrY	148171	40
chrY	148172	41
chrY	148173	41
chrY	148174	43
chrY	148175	44
chrY	148176	44
chrY	148177	44
chrY	148178	44
chrY	148179	42
chrY	148180	42
chrY	148181	41
chrY	148182	41
chrY	148183	40
chrY	148184	38
chrY	148185	38
chrY	148186	37
chrY	148187	38
chrY	148188	38
chrY	148189	37
chrY	148190	37
chrY	148191	39
chrY	148192	40
chrY	148193	40
chrY	148194	41
chrY	148195	41
chrY	148196	40
chrY	148197	39
chrY	148198	39
chrY	148199	38
chrY	148200	38
chrY	148201	38
chrY	148202	37
chrY	148203	38
chrY	148204	37
chrY	148205	38
chrY	148206	36
chrY	148207	35
chrY	148208	33
chrY	148209	33
chrY	148210	33
chrY	148211	33
chrY	148212	33
chrY	148213	34
chrY	148214	34
chrY	148215	34
chrY	148216	35
chrY	148217	35
chrY	148218	36
chrY	148219	35
chrY	148220	34
chrY	148221	33
chrY	148222	33
chrY	148223	33
chrY	148224	32
chrY	148225	32
chrY	148226	32
chrY	148227	33
chrY	148228	33
chrY	148229	34
chrY	148230	33
chrY	148231	34
chrY	148232	35
chrY	148233	34
chrY	148234	33
chrY	148235	33
chrY	148236	34
chrY	148237	34
chrY	148238	34
chrY	148239	35
chrY	148240	35
chrY	148241	35
chrY	148242	36
chrY	148243	36
chrY	148244	35
chrY	148245	36
chrY	148246	36
chrY	148247	36
chrY	148248	36
chrY	148249	38
chrY	148250	36
chrY	148251	35
chrY	148252	37
chrY	148253	35
chrY	148254	36
chrY	148255	36
chrY	148256	36
chrY	148257	37
chrY	148258	37
chrY	148259	38
